review,sentiment_polarity,sentiment_label
"I bought the product looking at the brand, 'Boat'.But disappointed with its performance.Instead of spending too much money on advertising, it's better to focus on its quality and reduce the price to a reasonable extent.READ MORE",-0.0516,negative
"this item was not comfortable for various type of people.  I was buy the item 2 days before, I was used the item and feel the pain after  20 minsREAD MORE",-0.7186,negative
excellent product  no problem i am using last 6 monthsREAD MORE,-0.0516,negative
They produce continuous cracked beep sound when used on Bluetooth on low volume or when there is drops in the songs.Headphones are good but are little tight on ears and can become uncomfortable if used for long period of time. Build quality is not that much great. and the AUX cable and usb are of very low quality. I think the Aux cable had been changed bcoz it didn't have boAt branding.READ MORE,-0.8776,negative
It gives headache to me whenever used more than an hour because of tight and uncomfortable design...READ MORE,-0.3818,negative
I got bad productREAD MORE,-0.5423,negative
It make my ear warm and pain in earREAD MORE,-0.34,negative
wroustAutomatically on /off A killing sound of on you can hear The size is also smallREAD MORE,-0.6597,negative
It is very bad... it stopped working after 30 days... it throws lot of noise.. VERY BAD quality...READ MORE,-0.8138,negative
Bluetooth connection is poor. My ears started paining after putting this on the head due to pressureREAD MORE,-0.7003,negative
Broken in a monthREAD MORE,-0.4767,negative
"The sound quality and build are very good, but I feel very bad about it, you can't talk to it properly through the MIC on the call.READ MORE",-0.624,negative
Cons Ears hurt after putting it on for a min of 30 minsWorse experience ever.ProsAttractive colorGood baseLouder voiceREAD MORE,-0.5267,negative
Button problem after some time. And not to continue conect with phone.meximim disconnect from phoneREAD MORE,-0.4019,negative
Purchased in big billion days at 1099 only. Pros:- 1.Awesome sound quality and the base is too good.2.Best connectivity in bluetooth and no disturbance while running or lagging of sound is there. Personally very impressed. 3. Battery backup is also so great. I was listening song for 1.2hr and only 10% battery drained out. Charging could be better but still no problem as full charge in 2hr(0-100%)4. TOP class in looks. Attention seeker especially in this colour which I have purchased...READ MORE,-0.1238,negative
"Earlobes hurt even after 10-15 minutes of usage,Bass and loudness is good, but I think one should go after over-the-ear models for the better feel of music and noise cancellation, Battery backup and the dual usage mode is especially good about this device, even mic has no problems as suchBut I  highly doubt the build quality and suspect it won't last long,  definitely can't be packed in suitcases or carry bags lest it breaks, so only safe place is the neck.Overall it serves the purpose, b...READ MORE",-0.4605,negative
I bought boat rockerz 400 super extra bass. then I requested for a refund .but refund has not been made yet even after 20 days of pickup of my headphone.they have taken away my 1000 rupees.its horrible experience on Flipkart for first time.will never shop again on itREAD MORE,-0.5106,negative
It pains so much on ears with this headphones on ull get headache after 30 minsREAD MORE,-0.4215,negative
Nice but not much comfortable as i was apecttedREAD MORE,-0.3925,negative
It is good for listening songs. But don't buy it for zoom or online meetings. It has some irritating noise. I even didn't got replacement for it and return is not accepted.READ MORE,-0.4678,negative
Very bad for playing pubgREAD MORE,-0.4077,negative
"Horrible...do not purchase this Headset,it's not comfortable,My ear are too pain if I put for 5min also,Nonsense Product.READ MORE",-0.5106,negative
"The sound quality is average it is surprisingly good if you are using bluetooth connection. The build is the bad part coz after wearing for 15 mins my ear started hurting and not only mine, same thing happened with my family members, it is too tight and squeeze your ears which leads to pain, you'll realise it after few minutes that your ears are hurting and need to open the headphones.READ MORE",-0.7964,negative
"Flipcart returned policy is totally disappointing,  this headphone is very tight ,you can't listen more than half an hour  ,your ear start painingREAD MORE",-0.5413,negative
the product is jst osm but the delivery of the product is worst the box was all opened so please take of thatREAD MORE,-0.3946,negative
"Sound quality is pretty good, but the built in quality is pathetic. It won't even last for one year, the plastic will break. And it's not covered in warranty.READ MORE",-0.4588,negative
Range is too low and very hard and weight is too highREAD MORE,-0.4201,negative
Headbend is broken after 4 moth of usageREAD MORE,-0.4767,negative
"The sound quality is awesome for this price segment, but most of the users is suffering from the pressure of the headset on ears including me. If the tight of the headset is reduced to some lower pressure it could help the users to enjoy the seem less music for longer time. For me I can't use it for more than 15 mins without adjusting it over my ears and I can't watch a full movie with this product as it hurt my ears on using it above 1 or 2 hours.READ MORE",-0.775,negative
Every bad designing . After 30min of usage your ear starts to painREAD MORE,-0.5423,negative
It been almost an year using it main problems were the leather in ear cushions were damaged and started to tore off after a few month .then the aux cable for the wired connection always getteing damaged i reaplaced the aux cable 3 times this year that cost me 900rs .Other than that its a great product.And i would also recommend stretching it for the first time its too tight for the first month after one month it will losen up.READ MORE,-0.2263,negative
Better experience but poor mic qualityREAD MORE,-0.4939,negative
Better but not best for batteryREAD MORE,-0.5577,negative
this product is normal like a earphone no much bass quality and it's given so much pain to ear ...READ MORE,-0.507,negative
Can't use for long timeIt exerts much pressure on earsREAD MORE,-0.296,negative
"Looks like some flaws in design, ears are paining after use and the device stopped working after a month.😔READ MORE",-0.2732,negative
It hurts in your ear if you use it for more than 1 hour continuouslyREAD MORE,-0.4767,negative
worst product quality of sound is good but was not working on bluetooth modeREAD MORE,-0.1531,negative
it's a wonderful full product very happy with the way it's works and sound quality . but if continuiously used for a longer period  the ears hurt.  delivery by flipkart was on timeREAD MORE,-0.191,negative
"Primarily, i thank Flipkart for fast delivery. I think this is the only fastest means of delivery during covid. Coming to the product - it is quite good with the appearance and fantastic with the sound. But i prefer NOT TO TAKE THIS PRODUCT because while using it will create a discomfort and u will feel a little irritating and u cant use for longer than 30min . Very tight and uncomfortableREAD MORE",-0.119,negative
"The head band just not durable atall, just used for 6 months.....sound quality everything eles is good....but what's the use when it's unusable coz of breaking the head band which connects two earcups. Worst experience......it's not even included in warrenty(cuz it will come under physical damage). Not worth buying when it's not atall dureableREAD MORE",-0.6971,negative
Don't purchase it after use of 2 hour your ear getting pain .Their no no Bass in this HeadphoneREAD MORE,-0.7717,negative
"Build is durable, but not comfortable for prolonged use.Not foldable, so packaging would be tricky without box. Battery life is around 6-7 hr mark. Good thing is it has aux slot if battery dies. Sound is average compared to price point, not great, Compared to my Sony mdr series inear headphones.There are very few which compete with this headphones in price point for wireless options.Had heard about this product from colleague, so went it. Try it at local shops before buying, as with any o...READ MORE",-0.7222,negative
I got its for 1499 but it doesn't look like that must it's look like low quality materialREAD MORE,-0.7894,negative
The product was good but the warranty was wastage as their was no pickupREAD MORE,-0.2144,negative
Product is not comfortable on headREAD MORE,-0.4023,negative
It works for 3 months then wireless it doesn't work...I recommend please do not buy this product ...instead pay 500 more and get long lasting ones.READ MORE,-0.538,negative
MIC DOESN'T WORK WELL SOUND BREAK IS PROBLEMATIC...READ MORE,-0.2057,negative
the headset is very tight. it creates pain over ears even within 5 min.READ MORE,-0.235,negative
The product is not at all good in build quality the cable broke today in just 2 months of purchase and after wearing it for 15-20 mins it becomes very uncomfortable. The build and design is very very disappointingREAD MORE,-0.7963,negative
Product is very good but delivery was very bad i reasive my product after 10 daysREAD MORE,-0.624,negative
"Same problems faced even after replacing the product, DefectiveREAD MORE",-0.4019,negative
One of the worst productREAD MORE,-0.6249,negative
"It is a great product...But one and only problem is its size.It is a little bit tighter, which hurts your ears after using some time.READ MORE",-0.1779,negative
It was good but now there is some problem with the power bottom. Its been 9 month of usingREAD MORE,-0.3818,negative
My headphones do not work. It have some problem. It doesn't start.READ MORE,-0.4019,negative
Worst products........ don't buy it plssssREAD MORE,-0.6249,negative
Very bad sound quality and product is not satisfiedREAD MORE,-0.5849,negative
Ur ears will start paining after a mere use of 10minREAD MORE,-0.4019,negative
very bad ear cufs  nd very tight ....plzz dont buy this headfone ...plzz plz....waste of money nd dont refund only replaceREAD MORE,-0.5849,negative
Worth purchasing. Only thing sucks is that ear start to hurt after 30 minutes of usage so keep in mind before purchasing these headphones.READ MORE,-0.6124,negative
went bad after just 1 monthREAD MORE,-0.5423,negative
Not good productREAD MORE,-0.3412,negative
"Sound clarity and bass is above average. Loved it. But the most irritating thing is that it's not comfortable at all. It holds both of our earpieces like a hell. Not recommended for gaming. Even though I'm a hard gamer. It cannot be used for more than 15mins (hardly). AUX is perfectly fine, no issue with that but the bluetooth connectivity also irritating me at some points. While using through bt, it produces some awkward sounds when we pause--play--pause-play a  video. First' I thought it's...READ MORE",-0.9094,negative
All good. But  painful after sometime using itREAD MORE,-0.4404,negative
Every thing is good but not so comfortable for long timeREAD MORE,-0.5644,negative
Sound quality is decent but when it on sound so bad and cracking noise also happen some timeREAD MORE,-0.804,negative
Not a good product.READ MORE,-0.3412,negative
"great in terms of BASE and audio out put, but  the noise cancellation is not up to the mark and alsoTHE MAIN DISADVANTAGE IS THAT THE EARS STARTS PAINING AS IT IS TOO TIGHT AND NOT  AT ALL comfortable after  the use of 10min also to the ears and this disturbs the quality of the sound too... hope it will become normal after usagecomfort is much important  to listen to music instead of this every thing is super as the battery is the  beast 8hrs...and also while playing the PUBG the Bluetoot...READ MORE",-0.529,negative
All is good but the time of calling voice is very bad like lab dabREAD MORE,-0.1461,negative
Bass is all set.but it hurts over ear just after 15min of use.READ MORE,-0.4767,negative
"I buy it for Rs. 999 ,at this price it is really good product. But after using 1 hr continuously it somewhat give pain to our ear. Sound quality is goodREAD MORE",-0.4471,negative
Good product no damages after one year...READ MORE,-0.296,negative
Good product nice sound and bass quality good battery backup worth money but little bit tight on ear and light pain on ear if used for long timeREAD MORE,-0.0516,negative
Not comfortable for headREAD MORE,-0.4023,negative
"1499 Rs is high.. If we more than 1 or 2 hour, getting pain on ear.READ MORE",-0.5106,negative
Awsm sound quality.Vocals are clear.Average bass...Good built quality....Ear cups are not that comfortable . You'll feel a little bit of pain after 1 hour of usage....Extreme battery backupREAD MORE,-0.6945,negative
You cant wear this for more than 10 min too tight that your ears get start paining....... sometimes connectivity get lost even when you are in less than 10 meter range.sound qulity is not that great go for byte corceca i had one which is best than this crap.READ MORE,-0.1012,negative
Calling not working good ..READ MORE,-0.3412,negative
Very baad problem bluetooth connection problemNever but such a productREAD MORE,-0.2475,negative
"This product is amazingly great, but if we prolong the duration of the usage of the headphone there's some sort of ear pain. Moreover during the start of the music or any sort of audio, there's a sharp strike of a high frequency sound from both the sides of the headphones thereafter making the sharp shock in both the inner ears.READ MORE",-0.8097,negative
"U cannot use this more than 1 hour , battery backup is worst u have to charge it on daily base... so think twiceREAD MORE",-0.6249,negative
Best Headphones Ever I Have Purchased but I Have Given 4 star after wearing lit bit pain some at earREAD MORE,-0.431,negative
Buil quality is good for this price range. But bluetooth connectivity is poor in quality. if bluetooth connectivity is slightly more enhanced then it would be a tremendous headfone ..READ MORE,-0.4939,negative
"Everything is good... but I expected that the bass effect will be something more than what I got. But overall performance is superb... But I have one serious complaint, that the aux cable which I got with this product.. I faced problem with that cable at the day I received the product...READ MORE",-0.7783,negative
only for music purpose.....really feeling sad for this productREAD MORE,-0.3818,negative
Nice and good but one problem has not come comfortable fitting here in your phone normal raf product was OK thenREAD MORE,-0.0909,negative
This headphone base quality is very poor and not prefict to manufacturedREAD MORE,-0.5256,negative
Worst productDon't buy it Problem in wireless mode arises with 2 monthsREAD MORE,-0.4295,negative
"value for money. it's not good as we think the connectivity of this headphone is not good if the Bluetooth version is higher then it will be good some unnecessary noice is there while playing anything, battery life is good, look is good..bought in 999rs but not satisfied bcz it's too tight n u can't put it on ur ear more than 1 hr... calling problem is there u can't talk on call properly by using this headphone...if u wanna buy please increase ur price and buy other headphone...i replaced my ...READ MORE",-0.5204,negative
Very bad the Bluetooth function stopped working after a month Don't buy this is a waste of moneyREAD MORE,-0.8173,negative
Very nice 👍 I was thinking in is bad but not it's bestREAD MORE,-0.0525,negative
If you use more than 1 hour ear pain came it's quite difficult to wear this head phoneREAD MORE,-0.7264,negative
"Very Disappointed, It Stopped Working after a monthREAD MORE",-0.6764,negative
"I buy it for Rs. 999 ,at this price it is really good product. But after using 1 hr continuously it somewhat give pain to our ear. Sound quality is goodREAD MORE",-0.4471,negative
"After 4 months one side of the headphone stop working , do not buy thisREAD MORE",-0.296,negative
Because painful to ear when uses for long period of timeREAD MORE,-0.4404,negative
"Hey fellas !, Giving this review after 1 year of usage my experience was good good sound great bass but the worst part is build quality the handle was broken after 7-8 months of usage so I suggest some other product with good build qualityREAD MORE",-0.2714,negative
Worst experience. I have been received with a damaged and used product. Will never buy anything from Flipkart.READ MORE,-0.7906,negative
Using more than hour given pain around earREAD MORE,-0.5106,negative
Facing problem in replacement.READ MORE,-0.4019,negative
"Style is quiet impressive bt leaving a bad adjustment, painful to ears,  sound cancelation not good,  not at all a super bassREAD MORE",-0.8249,negative
Painful hearing while using ...Not up to mark...I don't suggest to buy ...CostlyREAD MORE,-0.4404,negative
Nice products but ear are paining after 2-3 hours. Build quality is goodREAD MORE,-0.3919,negative
Well I actually hated it for design its so bad ! I hope it was more comfortable on ears!READ MORE,-0.3408,negative
It is very tight Fitting is not good cusion need to more comfortableBut under 1000 it is good with time they little bit comfortable otherwise all are goodREAD MORE,-0.1999,negative
It's really very pathetic only within purchase of 1 week the overhead part of headphone is torn & has cracks in between. It has become a wastage for us.please refund it.READ MORE,-0.7408,negative
Sound is awesome but not comfortable. So hard to head and ear.READ MORE,-0.0602,negative
Pathetic product.READ MORE,-0.5719,negative
It's good but bit uncomfortable. Can't put it for more than 1 hour. Still its okREAD MORE,-0.3506,negative
If ur ears r made of metal then go for it.. surely..the cushion cups are not at all for human ears...they r gonna make ears so much pain u cant imagine.. just dont go for sound quality nd bluetooth...main thing is comfort which is not at all to the slightest extent... hell of u boat.. i want refund.. plzz..READ MORE,-0.749,negative
Bluetooth conector is not good 👎👎 And some miner issuREAD MORE,-0.3412,negative
"Sound quality is good but microphone is not working  as expected during call low sounds feedback from apposite sides, I need to disconnect Bluetooth every time to receive calls.READ MORE",-0.1779,negative
sound quality is truly amazing... but cant use more than 1hour .ear starts paining. not comfortable fit.bluetooth is fine for music but it dorsnt work properly when watching videos in bluetooth mode(buffer problem)READ MORE,-0.6063,negative
Every thing is good but call not clear soundsREAD MORE,-0.2086,negative
Worst productREAD MORE,-0.6249,negative
Very tight headset..and very poor in call sound.READ MORE,-0.5256,negative
Sound and base quality is chhu great and affecting but ear couches are tough and giving pain after 15 minute useREAD MORE,-0.1406,negative
Not at all good it's very uncomfortable and the sound quality is averageREAD MORE,-0.6484,negative
Poor qualityREAD MORE,-0.4767,negative
Item sound not so good and refund option is not available . Plz don't go for this item. Totly wastage of timeREAD MORE,-0.5024,negative
Very bad product 😌READ MORE,-0.5849,negative
"Except the power button, no other button is working, bad sound quality when used by bluetoothREAD MORE",-0.6908,negative
Nice and good but one problem has not come comfortable fitting here in your phone normal raf product was OK thenREAD MORE,-0.0909,negative
Start pain on ear in only 15 minutesREAD MORE,-0.5106,negative
It's so tight that your ears will literally start paining & you can't even adjust. Can't even return.. Wasted my bucks on this scrap.READ MORE,-0.0186,negative
Nice product but I don't liked it very muchREAD MORE,-0.2728,negative
"Treble is too high. You cannot hear clear sound at full volume. Poor sound quality.also u cannot hear the songs more than 45 mins cause it's too tight and ears start paining. Don't buy ,it's a total waste of money.READ MORE",-0.8684,negative
Getting heated.  Difficult to use for long timeREAD MORE,-0.3612,negative
Killer Bass...🔥💞READ MORE,-0.6486,negative
Poor qlarityREAD MORE,-0.4767,negative
Very nice product. Weight is too light. Design also good but poor connectivity and doesn't provide expected comfortREAD MORE,-0.2854,negative
There will be problem in Mike on callingREAD MORE,-0.4019,negative
I received a quick delivery from flipkart. The headphones are light weight and foldable which makes it easy to carry. Sound quality is decent. Bluetooth connectivity is very good. The only negetive aspect of this device is the call quality. It's terrible. You can hear the other person but the microphone on this device is so poor that you won't be audible on the other end. It definitely doesn't support handsfree calling. I tried using the cable to call but again it didn't improve much. This is...READ MORE,-0.7868,negative
Just simply awesome no pain in the ear .long lasting battery (upto 10hrs).Best bass quality under this segmentREAD MORE,-0.1027,negative
"Got it @999rs.Sound quality is best.Battery is good.But one can't keep hearing on headphones continuously. Some Ear pain happens.When using with Aux cable sound quality is not good.Call quality is not good , voice breaks continuously.Overall under 1000 good headphoneREAD MORE",-0.7971,negative
every thing is fine the battery gets fully charged very fast but it also drains the battery very fastREAD MORE,-0.0378,negative
"Worst, please don't buy.I am writing review after use, after one month it is not working.READ MORE",-0.4215,negative
Headphones stopped working after  24 days. loss of moneyREAD MORE,-0.4939,negative
Very bad product not goodREAD MORE,-0.5849,negative
"Pathetic service , my headphones are not working properly out of 10 times they get fine and other 9 times whatever i do charge or play or or just keep still they doesn't work at all....READ MORE",-0.128,negative
Not good for callingREAD MORE,-0.3412,negative
This product is very fantastic..sound  to good....thanks to delivery boy for delivering in critical weather condition alsoREAD MORE,-0.3182,negative
There will be problem in Mike on callingREAD MORE,-0.4019,negative
"Worse product..Not connecting to any device,and after connecting it get switch off.Don't prefer this..Instead go for JBL or sony.READ MORE",-0.4767,negative
"Superb Bass, excellent music quality, but painful at outer ears after a long time of use.The quality of leather/synthetic material used around hood is not that great, good is that it has bluetooth and also useful for calls.READ MORE",-0.5647,negative
Loved the headphone but the piece I got have manufacture defect of its range so I have to return it and place new order for itREAD MORE,-0.1655,negative
Worst speakerREAD MORE,-0.6249,negative
Very bad do not buy from Flipkart WiiREAD MORE,-0.5849,negative
During calls nose is more to the receiver. Worst product from the boat. Whenever I receive calls either I have to switch back to earphones or speaker. They are listening resound. Not at all suggesting this one. Importance is always given to calls rightREAD MORE,-0.3818,negative
Ek no today 1year completeREAD MORE,-0.296,negative
Getting pain in the ears after usage of 1 hour.READ MORE,-0.5106,negative
Sound quality is awesome... battery is Good but Bluetooth connectivity is not good. If there is any obstacles connection will hamper.!!READ MORE,-0.7305,negative
Headfones are good but aux cable is gone bad few months later😔😔READ MORE,-0.5859,negative
Sound quality is good but surrounding people can listen what are u listening Battery backup is good No sd card slotNo FM Radio etc Pain after 2 hours in earPain after 3 hours useREAD MORE,-0.3506,negative
"Started headache in back head in an hour of use. May be the Bluetooth and magnet gives imense pressure to head and ears, not want more trouble so stopped using it. The same happens with my bro he also getting sever headache after use in an hour. This problem never came across with other headphones.But I would say it's super sound quality and bass too. Unfortunately could not usefull for me due to several time headache.READ MORE",-0.453,negative
Stopped working within four daysNow it is not workingThe money became worthlessREAD MORE,-0.2263,negative
Everything is good But it is not comfortable for ears ☹️Ear starts paining after even 2 minutesREAD MORE,-0.7313,negative
"Build quality not good as per my expectations. Sound quality good,  I  am using boat 225 headset, I think that is far better than this. Bass is good but not best. overall I would give 40 in 100.READ MORE",-0.7725,negative
comfortable problemeair cushion is very poor qualitymic problemREAD MORE,-0.024,negative
I found it is more tight than required after 30min. Of use it develop pain in ear.  And sound quality is also average type.READ MORE,-0.5106,negative
Waste of money... no on-site warranty.. stopped working in a months time.READ MORE,-0.7096,negative
The product is very well but I am not satisfied wit the ear cushionsREAD MORE,-0.3185,negative
No more need to tell youBoat sound and bass always superb🎧👌💞Must buy itREAD MORE,-0.296,negative
"yes it is good in all aspect..except mic, i tried to talk using mic over bluetooth but other person cannot hear it clearly and also that low sound irritates them... ..so if you want something to enjoy music in budget and quality this is good.. ...and yes it is tight but with use it gets loosen little but not comfortable for big head, i feel my head is small so in a week i got comfortable with it and keeping the volume mid range you can use it for hours like i use for 2-3 hrs a day but keepi...READ MORE",-0.0134,negative
sound quality is good and bass is enough in this price range but built quality and design is not so comfortable on the ear...but according to its price it's okREAD MORE,-0.5644,negative
Product is over all gud but its box was in bad condition product delivery is delayed by 1 dayREAD MORE,-0.7964,negative
After one year the product was damaged. The charging point complaintedREAD MORE,-0.4404,negative
* Good sound and bass* Looks awesome* Mike is not useful (not clear)* Continuous usage is painful for my ears. I can't even complete a movie with this headset.READ MORE,-0.3412,negative
This headphones are not so good if u are using for long time.Ears become sweaty after sometime of using these headphones.READ MORE,-0.464,negative
I have used it for a year now. The overhead support broke. The headset is a little tight and gives pain in a continuous use of more than 1 hourREAD MORE,-0.5267,negative
Bought it at an offer price of 1k. Not a good fit and definitely not recommended for people with glasses. Volume buttons are not Woking. Mic quality is very bad. There are glitches in sound while connected on BluetoothREAD MORE,-0.7352,negative
Very bad product .....its sound quality is very bad .....this is the worthless product i have ever bought on the flipkart ..... don't think to buy these type of productREAD MORE,-0.8882,negative
"Very bad product, worst sound quality, stop working after 5 months.READ MORE",-0.8849,negative
Big bad product.In one month wire will be loss then sound 🔊 is very badREAD MORE,-0.7003,negative
Its a little uncomfortable on years and head.....sound quality is fantasticREAD MORE,-0.3197,negative
Product is not comfortable on headREAD MORE,-0.4023,negative
It broke in just few months when I was lying on the bed while wearing it. It should be this fragile and then it broke again while I was putting it on my head from the middleREAD MORE,-0.8402,negative
Worst experience. Getting neck pain and headache.No option to return the product from merchant.Flipcart also help less....READ MORE,-0.6908,negative
The sound quality s great.. No connectivity issues.. Looks good.. Jus go fr it only if u r ready to cut off yo ears latr..its soo uncomfortable.. Wud hv been betr if the ear cushions were a little wider..READ MORE,-0.2023,negative
Giving 3star because not satisfied with the comfort it is providing.You can wear ot only for 20-30 mins after that you ears will feel a hell of pain. If you want comfort don't go for it. But for the sound quality it's amazingREAD MORE,-0.3107,negative
I am fan of boat...but this time i am mad for boat......😁😁😁😁😁😁😁READ MORE,-0.2263,negative
You buy this product low budget price perfectREAD MORE,-0.2732,negative
"The sound quality of this headphone is quite impressive but the design is not so good, it is not comfortable for my head and ears, after using one or two hours it may give you a headache, but I bought this product in just 999, so at this amount you can't find better product than it...overall the product is good and i'm happy with it..READ MORE",-0.8127,negative
Good one but i returned it as i don't like headphones or my ears don't like it as they started paining after 40 minutes. ...good product by the wayREAD MORE,-0.7864,negative
"I have been using this for over a week now and this is what i foundPro-1) Build is good.2) Bass is average3) Battery back up is excellent4) sound is good.Cons1) A little light than the usual headphones but will get loose after some use.2) Ear pads are not of that great quality and are a little hard, compared to other headphones.READ MORE",-0.8201,negative
"I have got this in 999. A good purchase in this price range having a Bluetooth, aux and built-in mic to take calls. But its main issue is its design. Actually for my head, which has a size in bigger side it basically hurts my ears. There is no possibility for size increase or decrease of the arch of the headfone.. overall a 3*READ MORE",-0.4678,negative
It's very hurt when you put it on over the head small size I am not satisfied with thisREAD MORE,-0.7206,negative
Best headphones at cheap price of ₹999 compared all the other brands for the wireless but it's sound is best.With additional option of wire or aux cable so the detachable cable makes it durable...so the cable connection will not break if breaks buy a cable for ₹50... If you find battery low then u can use it as wired headphones...so overall  I have to give 4.5....not expected such performance from an Indian companyREAD MORE,-0.0129,negative
sound is too Good no other brand provide this sound in this price range but Bluetooth connectivity is too Bad and it is not comfortable so I give 3 starREAD MORE,-0.8382,negative
If you are buying an headset for the first time and you don't have an earphone DON'T BUY IT!!!!It hurts so bad and we can't use it for longer period like earphoneREAD MORE,-0.3829,negative
More Disturbing sound is coming During Calling. & Range is not proper.READ MORE,-0.5563,negative
Don't buy music is average but the worst part is comfort. I'm getting irritated after 15 min of use. Feeling like my ears got burningREAD MORE,-0.5267,negative
Worse noice cancellation... Everyone in the room can hear the noice..READ MORE,-0.4767,negative
Superbb Base but ..but the range is not good battery backup is also very goodREAD MORE,-0.4782,negative
This product is awesome but the problem is this that it has small earcups compared to others and also the charging cable is very tight when we plug it into the port.Rest is awesome.READ MORE,-0.25,negative
poor plastic qualityREAD MORE,-0.4767,negative
"I am using this bluetooth headset from last month and I can say one thing This headphones 🎧 are not upto mark as its shows The sound quality of headphones are okay and the bass sound is also just okay types But one of the major drawback of this headphones are you can't wear this headphones continues more than 30 minutes , it started causing pain to your ears and moreover these headphones are also not comfortable to wear for a long timeThe design of headphones are okay but the quality usi...READ MORE",-0.6959,negative
lookwise it's not so bad but the ear cups are very small after sometime your ear started to feel heavy and going to pain so you can't able to wear it for long period of time.and also for song it's ok but for phone calls it's pathetic.the other person will started to complain after few seconds that they can't able to hear you at all so for that you have to plug the aux cable in to your boatrockerz 400 Bluetooth headphoneREAD MORE,-0.5586,negative
The product is not working properly since the day I purchased it. Sound getting crashed when connected to bluetooth and average sound quality and poor build quality. 10/10 will not recommend this product for anyone.READ MORE,-0.6381,negative
"Not good. ..my headphone got un audible as some wireless bluetooth issue. My suggestion is not to go for this product please,READ MORE",-0.3412,negative
Osm bass but headphone body is low qualityREAD MORE,-0.3919,negative
Mic is not working in my headphone and they are providing only 7 days replacement not money back. It is really bad experience for me.READ MORE,-0.5849,negative
hears paining dont buy it...this is worst headset ive ever seenREAD MORE,-0.7783,negative
Buying this product is truely waste of maney As its design and material used is of very cheap quality.It should worth it if it's price jump down to Rs 599READ MORE,-0.2263,negative
sound quality is good but after using for 30 minutes pain starts in ears. Too much pressure on earsREAD MORE,-0.743,negative
i am not happy because not return policy availableREAD MORE,-0.4585,negative
Worst headphone ever saw. I have buyed a lot of headphones but this the worst in it. Microphone is not working strucking in between the music and audio clarity is also not clear I suggest you not to buy thisREAD MORE,-0.8139,negative
Not comfortable! Very harsh on ears.READ MORE,-0.0954,negative
After one year the product was damaged. The charging point complaintedREAD MORE,-0.4404,negative
"So tight, it exert so much pressure on head very painfullREAD MORE",-0.3566,negative
"Bass good,  sound low, Heavy on head.  not recommend for train travel and daily up down.READ MORE",-0.0798,negative
Bass is not good but satisfactory and sound is so poor qualityREAD MORE,-0.8706,negative
☺Good for music but not good for calls..☺READ MORE,-0.4782,negative
Not at all as per expectation. The return policy is also not good. And the quality of the speakers is not good at all. Everytime you play something there is a loud thud which makes you go deaf and then the audio starts.READ MORE,-0.3425,negative
sound is good but when i connected wireless then it sucks for MIC voice recording no audioREAD MORE,-0.6249,negative
"After 30 minutes, ears will start getting pain. Sound is good.READ MORE",-0.5106,negative
"great in this budget you can go for itCons:-1) I feel its a little bit heavy after using few minutes (more or less 1 hour) 2) high noise when connecting call over Bluetooth, but no noise with the wireREAD MORE",-0.0644,negative
Very bad product including build quality is also poorREAD MORE,-0.5849,negative
"The sound quality is awesome no more queries about it but, in the built design the ear cups are not comfortable if we wear about 20 to 30 minutes our ear may start getting pain.so please make a big ear cup that may feel comfortable for listening and overall it is good.READ MORE",-0.4949,negative
There is no refund policy in this product..don't buy it..you'll not want to use it after 10 minutes.READ MORE,-0.3447,negative
"AVERAGE.Has good sound and bass, but connectivity wise it sucks. U will notice audio dip occasionally which I felt really annoying. Other than that it has good built quality and design. U will feel a pressuring sensation just for a while. Once u get used to, U won't feel it.READ MORE",-0.1001,negative
Very bad sound quality.READ MORE,-0.5849,negative
Pain full you canot use for long time further thea is problem in callingREAD MORE,-0.7184,negative
"Having more pressure on the ears, due to compression of the ear cups.READ MORE",-0.3597,negative
"Terrible.. please don't buy.. you will regret a lot. Its bluetooth connectivity is a big blunder. Total waste of money. On top of that, flipkart has no return policy for this product even for requests made within 24 hours.READ MORE",-0.5719,negative
Very bad BluetoothREAD MORE,-0.5849,negative
Bluetooth connectivity is not so good it's only limit in a room once you'll move out of the room even to door it's starts buzzing and gets disconnected... although everything is fine the calling function is also okREAD MORE,-0.3024,negative
"Mic quantity is very poor. Background noise is more important while calling. Can't use for more than 30 min, ears will pain...fusion should be soft.READ MORE",-0.3182,negative
Power button get damage within two weeksREAD MORE,-0.4939,negative
One of the worst headphones i have. The sound is so bad that i can't say and after wearing for 15 to 20 minutes my ears start paining please don't buy this.READ MORE,-0.8747,negative
It's very tight to head after 15 mints wearing this product so painful of hears and also jaw sectionREAD MORE,-0.5777,negative
"Headphones are from a reputed brand. Sound quality is good and battery backup is ok, but build quality is not good. They feel very flimsy and light as they are completely made of plastic. They are also a bit uncomfortable on the ears. You might experience some pain in the beginning while using it. The pain will reduce but they still feel uncomfortable while wearing them. I gave 3 stars only because of sound quality, because their build quality is bad. I have been using their other model boat ...READ MORE",-0.9437,negative
During calling sound does not reach properly otherwise it is awesomeREAD MORE,-0.0191,negative
I recommend for not to buy this productBelieve me It is wasted of moneyREAD MORE,-0.1779,negative
Product is good but get pain in ears in only 10 mins.READ MORE,-0.5423,negative
sound is good but it makes irritating humming sound when connected via bluetooth..READ MORE,-0.4678,negative
"If your budget is low, and need a premium quality headphone, Go for this 🔥🔥🔥READ MORE",-0.2732,negative
